id;title;original_language;popularity;release_year;production_companies;production_countries;director
567;One for the Money;en;NONE;NONE;NONE;US;Julie Anne Robinson
2934;Diary of a Wimpy Kid: Dog Days;NONE;10.226;2012;Fox 2000 Pictures;US;David Bowers
2255;Lost & Found;en;1.337;NONE;Alcon Entertainment and Dinamo Entertainment;NONE;Jeff Pollack
1531;Gnomeo & Juliet;NONE;9.244;2011;NONE;NONE;Kelly Asbury
850;The Last King of Scotland;NONE;9.424;2006;Fox Searchlight Pictures and Cowboy Films and DNA Films and Scottish Screen and UK Film Council and Filmfour and Slate Films and Tatfilm;NONE;NONE
1447;Myra Breckinridge;NONE;0.620;1970;Twentieth Century Fox Film Corporation;US;Michael Sarne
2158;The Life Aquatic with Steve Zissou;NONE;NONE;2004;Touchstone Pictures and American Empirical Pictures;US;Wes Anderson
1078;You're Next;en;6.465;2011;NONE;US;Adam Wingard
2666;The Tree of Life;NONE;11.205;NONE;NONE;US;Terrence Malick
191;What to Expect When You're Expecting;en;7.272;2012;Alcon Entertainment and Lionsgate and Phoenix Pictures and What to Expect Productions;NONE;Kirk Jones
1108;Seventh Son;en;15.298;2014;Legendary Pictures and Thunder Road Pictures and Outlaw Sinema and Moving Picture Company (MPC) and Pendle Mountain Productions and China Film Co.;NONE;Sergei Bodrov
2430;55 Days at Peking;en;NONE;1963;NONE;NONE;Nicholas Ray and Guy Green
420;Midnight in Paris;NONE;11.433;2011;Gravier Productions and Televisió de Catalunya (TV3) and Versátil Cinema and Mediapro and Pontchartrain Productions;NONE;NONE
2157;Stand by Me;en;15.207;1986;NONE;US;Rob Reiner
2948;Grimsby;en;13.913;NONE;Columbia Pictures and Village Roadshow Pictures and Big Talk Productions and Sony Pictures Releasing and Sony Pictures Entertainment (SPE) and Working Title Films and Blue Sky Films and LStar Capital and Four by Two Films;AU and GB and US;Louis Leterrier
151;Holy Hell;en;1.279;NONE;NONE;US;Will Allen
379;Born to Be Blue;NONE;4.470;2015;New Real Films and Lumanity Production;CA and GB;NONE
2984;S.W.A.T.;en;13.335;NONE;Original Film and Columbia Pictures Corporation and Camelot Pictures and Chris Lee Productions and Illusion Entertainment;US;NONE
1519;A Street Cat Named Bob;NONE;NONE;NONE;Prescience and Iris productions and Shooting Script Films;GB;Roger Spottiswoode
2754;The Clan;es;7.789;NONE;NONE;NONE;Pablo Trapero
1596;Billy Madison;NONE;6.638;NONE;NONE;US;Tamra Davis
734;Zootopia;en;26.025;NONE;Walt Disney Pictures and Walt Disney Animation Studios;US;NONE
1983;Priest;NONE;1.882;1994;BBC Films and PolyGram Filmed Entertainment and Miramax;GB;Antonia Bird
1559;Stone;NONE;NONE;2010;NONE;US;John Curran
2386;Thunderbolt and Lightfoot;NONE;8.284;1974;NONE;US;Michael Cimino
2888;The Caine Mutiny;en;9.000;1954;NONE;US;Edward Dmytryk
1451;The Death and Life of Bobby Z;NONE;NONE;NONE;Eclectic pictures and Millennium Films;DE and US;John Herzfeld
320;Defence of the Realm;NONE;1.506;1986;The Rank Organisation and Enigma Productions and National Film Finance Corporation (NFFC);GB;David Drury
2233;Cop Out;en;NONE;2010;Warner Bros.;NONE;Kevin Smith
647;Barbarella;en;14.304;1968;Paramount Pictures and Dino de Laurentiis Cinematografica and Marianne Productions;US;NONE
2692;Falling Down;en;NONE;1993;NONE;NONE;Joel Schumacher
978;The Messenger: The Story of Joan of Arc;NONE;NONE;NONE;Columbia Pictures and Gaumont;FR;Luc Besson
2839;The Mask of Zorro;en;NONE;1998;Amblin Entertainment and TriStar Pictures;NONE;Martin Campbell
2380;Secretary;en;NONE;NONE;Slough Pond and double A Films;US;NONE
1462;It's Kind of a Funny Story;en;8.172;NONE;NONE;US;Ryan Fleck and Anna Boden
515;Stir of Echoes;en;NONE;NONE;Artisan Entertainment;US;David Koepp
2210;The Valet;NONE;7.696;2006;NONE;FR;Francis Veber
2462;Midnight Special;en;12.683;NONE;Warner Bros. and Faliro House Productions and Tri-State Pictures;US;Jeff Nichols
867;Close My Eyes;NONE;NONE;1991;Film 4 and Film Four International and Beambright;GB;Stephen Poliakoff
2918;The Big Town;NONE;NONE;NONE;Columbia Pictures Corporation and Albacore Productions Inc.;US;Ben Bolt
2276;Dead Snow 2: Red vs. Dead;no;10.287;NONE;Saga Film and Tappeluft Pictures and thefyzz;NO;NONE
1571;Made of Honor;en;6.417;2008;Columbia Pictures and Original Film;GB and US;NONE
2443;The Twilight Saga: Eclipse;en;34.047;NONE;Summit Entertainment and Maverick Films and Imprint Entertainment and Sunswept Entertainment and Temple Hill Entertainment;US;David Slade
532;SpaceCamp;en;NONE;1986;ABC Motion Pictures;US;Harry Winer
1828;Murder by Numbers;NONE;9.646;2002;NONE;NONE;Barbet Schroeder
450;Chasing Liberty;en;5.951;2004;NONE;GB and US;Andy Cadiff
1477;Percy Jackson & the Olympians: The Lightning Thief;en;NONE;NONE;NONE;CA and US;Chris Columbus
2378;Faithful;NONE;1.297;NONE;New Line Cinema and Miramax Films;NONE;Paul Mazursky
1067;Silver Streak;en;NONE;1976;NONE;US;NONE
346;Collateral Beauty;en;14.576;NONE;NONE;US;David Frankel
1974;Breaking Away;en;NONE;1979;Twentieth Century Fox Film Corporation;US;Peter Yates
1616;The River;en;6.303;1984;Universal Pictures;US;NONE
1177;The Manchurian Candidate;en;10.797;2004;Paramount Pictures and Scott Rudin Productions and Clinica Estetico;NONE;NONE
36;About Adam;NONE;NONE;NONE;Bórd Scannán na hÉireann and British Broadcasting Corporation (BBC) and Venus Productions;IE and GB and US;Gerard Stembridge
2141;Sicario;NONE;19.511;2015;Lionsgate and Thunder Road Pictures and Black Label Media;US;NONE
74;Jackson County Jail;NONE;NONE;1976;NONE;US;Michael Miller
463;Parenthood;en;8.098;1989;Imagine Entertainment and Universal Pictures;US;NONE
2001;Kickboxer 2:  The Road Back;en;8.501;NONE;NONE;US;Albert Pyun
1145;The Santa Clause 3: The Escape Clause;NONE;6.830;2006;NONE;NONE;Michael Lembeck
2050;The Warriors;NONE;NONE;1979;Paramount Pictures;US;Walter Hill
624;The Animal;en;8.473;2001;Revolution Studios and Happy Madison Productions;US;NONE
2593;Son of the Pink Panther;NONE;3.373;1993;International Traders;US and IT;Blake Edwards
608;The Tracey Fragments;en;2.819;2007;NONE;CA;Bruce McDonald
1348;Orca: The Killer Whale;en;5.253;1977;NONE;NONE;NONE
1484;The Book Thief;en;16.374;2013;NONE;DE and US;Brian Percival
2672;The New World;NONE;7.695;2005;NONE;US;Terrence Malick
1716;Sin Nombre;es;NONE;NONE;NONE;MX;Cary Fukunaga
1152;A Bridge Too Far;en;NONE;NONE;United Artists and Joseph E. Levine Productions;GB and US;Richard Attenborough
1322;Paranoid Park;NONE;6.198;2007;Centre National de la Cinématographie and Meno Films and MK2 Productions;FR and US;Gus Van Sant
1794;Win Win;en;NONE;2011;Fox Searchlight Pictures and Next Wednesday Productions and Groundswell Productions and Everest Entertainment;NONE;NONE
438;Bull Durham;NONE;NONE;1988;Orion Pictures and The Mount Company;US;NONE
342;The Mostly Unfabulous Social Life of Ethan Green;NONE;0.768;2005;Here Films;US;NONE
2515;Clouds of Sils Maria;en;8.151;NONE;NONE;NONE;Olivier Assayas
436;The Better Angels;en;9.266;2014;Brothers K Productions;US;NONE
1043;Salome's Last Dance;NONE;0.655;NONE;Vestron Pictures and Jolly Russell Productions and Vestron UK;GB and US;Ken Russell
2263;One Small Hitch;NONE;3.317;2013;NONE;US;John Burgess
2930;The Princess Bride;en;15.153;1987;NONE;NONE;Rob Reiner
2316;The Great Outdoors;NONE;11.666;NONE;NONE;US;Howard Deutch
1612;Cool Runnings;NONE;8.307;1993;Walt Disney;US;NONE
888;My Big Fat Greek Wedding;en;NONE;2002;Home Box Office (HBO) and Playtone and Gold Circle Films and Ontario Film Development Corporation and MPH Entertainment Productions;CA and US;Joel Zwick
2410;Fired Up!;NONE;6.312;2009;Screen Gems and Moving Pictures, DPI and Weinstock Productions and Gross Entertainment;US;Will Gluck
2786;Bellflower;en;NONE;2011;Coatwolf Productions;US;Evan Glodell
1189;The Gorgeous Hussy;en;NONE;1936;Metro-Goldwyn-Mayer (MGM);US;Clarence Brown
726;Barbara;NONE;4.913;2012;NONE;DE;NONE
863;He Named Me Malala;en;2.201;NONE;Participant Media and Imagenation Abu Dhabi FZ and Parkes+MacDonald Image Nation;AE and US;NONE
743;Furry Vengeance;NONE;10.795;NONE;Summit Entertainment and Robert Simonds Productions and Participant Media and Imagenation Abu Dhabi FZ and Furry Vengeance Productions;AE and US;NONE
1704;Red Riding Hood;en;10.174;2011;Appian Way and Warner Bros. and Random Films;NONE;Catherine Hardwicke
1525;THX 1138;en;NONE;1971;NONE;NONE;George Lucas
2961;Porky's;en;12.651;NONE;Melvin Simon Productions and Astral Bellevue Pathé;NONE;Bob Clark
34;Rush Hour 3;en;9.718;NONE;New Line Cinema;US;Brett Ratner
2156;Dreamcatcher;NONE;7.695;2003;Village Roadshow Pictures and Castle Rock Entertainment and NPV Entertainment and Kasdan Pictures and WV Films II;NONE;Lawrence Kasdan
1473;Annabelle;en;NONE;2014;New Line Cinema and The Safran Company and Evergreen Media Group and RatPac-Dune Entertainment;US;John R. Leonetti
2257;Capote;en;6.013;NONE;Sony Pictures Classics and Cooper's Town Productions and Eagle Vision Inc. and Manitoba Film and Video Production Tax Credit and Province of British Columbia Production Services Tax Credit and Infinity Media and A-Line Pictures;CA and US;Bennett Miller
2892;Mona Lisa;en;3.096;1986;NONE;NONE;Neil Jordan
1164;The Three Musketeers;en;6.348;NONE;Walt Disney Pictures and Caravan Pictures;US and AT;Stephen Herek
2996;We Are the Best!;sv;NONE;2013;Memfis Film and Film i Väst;DK and SE;Lukas Moodysson
1666;Ed Wood;NONE;11.720;1994;NONE;NONE;Tim Burton
2400;Happy Accidents;en;9.916;NONE;Independent Film Channel;US;NONE
557;Baggage Claim;en;5.591;2013;NONE;US;NONE
1924;Sex and the City;en;9.170;NONE;New Line Cinema and Darren Star Productions and Home Box Office (HBO);US;Michael Patrick King
2606;Analyze This;en;7.634;NONE;NONE;NONE;Harold Ramis
595;A Prince (almost) Charming;fr;NONE;2013;EuropaCorp;FR;Philippe Lellouche
827;Monkey King: Hero Is Back;zh;NONE;2015;Hengdian Chinese Film Production Co. and Beijing Weiyingshidai Culture & Media;CN;Tian Xiao Peng
703;Beyond the Mat;en;NONE;NONE;Imagine Entertainment and Universal Pictures and Lionsgate;US;Barry W. Blaustein
1408;Corky Romano;NONE;4.890;2001;Robert Simonds Productions and Touchstone Pictures;US;Rob Pritts
1352;Turbulence;NONE;5.304;NONE;Metro-Goldwyn-Mayer (MGM) and Rysher Entertainment;US;NONE
1488;Love and the City 2;ru;0.318;NONE;Леополис and Квартал-95;RU;NONE
1300;Warm Bodies;NONE;10.430;2013;NONE;CA;NONE
2055;The Mist;en;8.436;2007;NONE;NONE;Frank Darabont
81;Shopgirl;NONE;NONE;2005;Epsilon Motion Pictures and Hyde Park Films and Shopgirl and Touchstone Pictures;US;Anand Tucker
209;Hidalgo;NONE;8.141;2004;Casey Silver Productions and Touchstone Pictures and Dune Films;NONE;Joe Johnston
69;The Fast and the Furious: Tokyo Drift;en;2.239;NONE;NONE;JP and US;Justin Lin
1135;Highlander: The Final Dimension;en;NONE;1994;Trans-Film and Initial Groupe and Lumière Pictures and Fallingcloud;CA and FR and GB;NONE
1027;Star 80;NONE;4.120;1983;Warner Bros. and The Ladd Company;NONE;NONE
51;The Great Race;en;NONE;1965;Warner Bros.;US;NONE
1002;To Die For;en;10.448;1995;The Rank Organisation and Columbia Pictures Corporation;US;NONE
2889;Manhattan;NONE;12.051;1979;NONE;US;Woody Allen
699;Ride Along 2;NONE;9.421;2016;Universal Pictures and Cube Vision and Will Packer Productions and Reel Chefs Catering;US;Tim Story
88;The Zookeeper's Wife;NONE;13.655;2017;Scion Films and LD Entertainment and Czech Anglo Productions;CZ and GB and US;Niki Caro
1835;Phantasm II;en;8.733;NONE;Universal Pictures and Spacegate Productions and Starway International Inc.;NONE;NONE
